1962,Gold Cup,1,John Pugh

1962,Gold Cup,2,Rixi Markus
1962,Gold Cup,2,Michael Wolach
1962,Gold Cup,2,Joel Tarlo
1962,Gold Cup,2,Tony Priday
1962,Gold Cup,2,Alan Truscott


1963,Gold Cup,1,Albert Dormer
1963,Gold Cup,1,Alan Hiron
1963,Gold Cup,1,Jack Nunes
1963,Gold Cup,1,Albert Rose
1963,Gold Cup,1,Kenneth Barbour
1963,Gold Cup,1,Peter Swinnerton-Dyer

1963,Gold Cup,2,Rixi Markus
1963,Gold Cup,2,Michael Wolach
1963,Gold Cup,2,Kenneth Konstam
1963,Gold Cup,2,Tony Priday
1963,Gold Cup,2,Terence Reese
1963,Gold Cup,2,Boris Shapiro


1964,Gold Cup,1,Terence Reese
1964,Gold Cup,1,Boris Schapiro
1964,Gold Cup,1,Kenneth Konstam
1964,Gold Cup,1,Jeremy Flint
1964,Gold Cup,1,Claude Rodrigue
1964,Gold Cup,1,Tony Priday

1964,Gold Cup,2,Maurice Harrison-Gray
1964,Gold Cup,2,Jim Sharples
1964,Gold Cup,2,Bob Sharples
1964,Gold Cup,2,Dr Melvyn Rockfelt
1964,Gold Cup,2,Peter Swinnerton-Dyer
1964,Gold Cup,2,Dorothy Shanahan


1965,Gold Cup,1,Terence Reese
1965,Gold Cup,1,Boris Schapiro
1965,Gold Cup,1,Jeremy Flint
1965,Gold Cup,1,Kenneth Konstam
1965,Gold Cup,1,John Collings
1965,Gold Cup,1,Jonathan Cansino

1965,Gold Cup,2,Richard Preston
1965,Gold Cup,2,Ralph Swimer
1965,Gold Cup,2,Tony Priday
1965,Gold Cup,2,Claude Rodrigue
1965,Gold Cup,2,Dr Melvyn Rockfelt


1966,Gold Cup,1,Maurice Harrison-Gray
1966,Gold Cup,1,Albert Rose
1966,Gold Cup,1,Jim Sharples
1966,Gold Cup,1,Bob Sharples

1966,Gold Cup,2,Richard Preston
1966,Gold Cup,2,Ralph Swimer
1966,Gold Cup,2,Louis Tarlo
1966,Gold Cup,2,Claude Rodrigue
1966,Gold Cup,2,Dr Melvyn Rockfelt


1967,Gold Cup,1,Maurice Harrison-Gray
1967,Gold Cup,1,Tony Priday
1967,Gold Cup,1,Nico Gardener
1967,Gold Cup,1,Albert Rose
1967,Gold Cup,1,Jim Sharples
1967,Gold Cup,1,Bob Sharples

1967,Gold Cup,2,Rita Oldroyd
1967,Gold Cup,2,Alf Finlay
1967,Gold Cup,2,J Bloomberg
1967,Gold Cup,2,Raymond Brock
1967,Gold Cup,2,Irving Manning


1968,Gold Cup,1,Maurice Harrison-Gray
1968,Gold Cup,1,Tony Priday
1968,Gold Cup,1,Nico Gardener
1968,Gold Cup,1,Albert Rose
1968,Gold Cup,1,Jim Sharples
1968,Gold Cup,1,Bob Sharples

1968,Gold Cup,2,Terence Reese
1968,Gold Cup,2,Jeremy Flint
1968,Gold Cup,2,Jonathan Cansino
1968,Gold Cup,2,Anthony Milford
1968,Gold Cup,2,Freddie North
1968,Gold Cup,2,John Pugh


1969,Gold Cup,1,Sam Leckie
1969,Gold Cup,1,Victor Goldberg
1969,Gold Cup,1,Willie Coyle
1969,Gold Cup,1,Victor Silverstone
1969,Gold Cup,1,Tom Culbertson
1969,Gold Cup,1,Hugh Kelsey

1969,Gold Cup,2,Tony Priday
1969,Gold Cup,2,Nico Gardener
1969,Gold Cup,2,Dr Melvyn Rockfelt
1969,Gold Cup,2,Jim Sharples
1969,Gold Cup,2,Bob Sharples


1970,Gold Cup,1,Tony Priday
1970,Gold Cup,1,Nico Gardener
1970,Gold Cup,1,Jim Sharples
1970,Gold Cup,1,Bob Sharples
1970,Gold Cup,1,Joe Amsbury
1970,Gold Cup,1,Dr Melvyn Rockfelt

1970,Gold Cup,2,Barry Posner
1970,Gold Cup,2,Geoffrey Breskal
1970,Gold Cup,2,Jack Nunes
1970,Gold Cup,2,Joel Tarlo
1970,Gold Cup,2,Ralph Swimer


1971,Gold Cup,1,Keith Stanley
1971,Gold Cup,1,Jack Marx
1971,Gold Cup,1,J Gerard Faulkner
1971,Gold Cup,1,Douglas Romain
1971,Gold Cup,1,Eric Crowhurst
1971,Gold Cup,1,Alan Wardman

1971,Gold Cup,2,Terence Reese
1971,Gold Cup,2,Jeremy Flint
1971,Gold Cup,2,Jonathan Cansino
1971,Gold Cup,2,Irving Rose
1971,Gold Cup,2,Claude Rodrigue
1971,Gold Cup,2,Anthony Milford


