# OPEN WORLD INTERNATIONAL MASTERS
# Rank Name Country MPs PPs
Andrey Shudnev,Russia 105 1
Tim Zlotov,Russia 105 1
Mark Molson,U.S.A. 103 4
Gabor Macskasy,Hungary 103 1
Hideki Takano,Japan 102 1
Paul Marston,Australia 99 3
Debashish Roy,India 99 2.5
Henry Mansell,South Africa 99 1
Yalcin Atabey,Turkey 99 0
Josef Simon,Austria 96 1
Carlos Lucena,Argentina 95 1
John Armstrong,England 94 3.5
Antonio Frances Velasco,Spain 94 0.5
Yeshayahu Levit,Israel 93 3
Hung-Shih Lin,Chinese Taipei 90 3
Lauge Schaffer,Denmark 90 3
Dirk Schroeder,Germany 90 0
Panagiotis Kannavos,Greece 88 1
Lars Andersson,Sweden 86 1.5
Alexander Petrunin,Russia 86 1
Roman Smolski,Bermuda 84 1.5
Maurice Salama,France 84 0.5
Michael Strafner,Austria 82 1
Sven-Ake Bjerregard,Sweden 81 4.5
Morten Andersen,Denmark 81 3
Che-Hung Kuo,Chinese Taipei 81 3
Patrick Allegrini,France 81 0
Santanu Ghose,India 80 3
Kamal Kumar Roy,India 80 0.5
Bart Nab,Netherlands 80 0
Steve Hamaoui,Venezuela 79 2.5
Lionel Wright,Great Britain 78 0
Kurt Feichtinger,Austria 77 3
Loukas Zotos,Greece 77 1
Roald Ramer,Netherlands 77 0
John Sutherlin,U.S.A. 76 2.5
Georg Kriftner,Austria 74 1
Glyn Liggins,England 71 2
Joe Fawcett,England 70 2
Erik Kirchhoff,Netherlands 70 2
Samir Salib,Egypt 70 2
Fritz Kubak,Austria 68 4
Eduardo Scanavino,Argentina 68 2.5
Pierre Adad,France 68 1.5
Francois Leenhardt,France 67 2
Arno Hobart,Canada 66 1
Ashraf Sadek,Egypt 64 2
Michael Barnay,Austria 64 1
Nisar Ahmad,Pakistan 61 3.5
Jose Damiani,France 61 0.5
Tomas Brenning,Sweden 60 1.5
Chuan-Cheng Chen,Chinese Taipei 60 0.5
Hongjun Xu China,60 0
Masood Saleem,Pakistan 58 4
Munir Attaullah,Pakistan 57 3.5
Jihong Hu China,57 0
Frans Jeunen,Belgium 56 0
Charles Coon,U.S.A. 55 4.5
Jaap Van Der Neut,Netherlands 55 2
Marten Gustawsson,Sweden 55 1.5
Maurice Aujaleu,France 55 1
Nicholas Dechelette,France 55 0
Anders Brunzell,Sweden 54 4
Jim Nielsen,Sweden 54 2
Chris Convery,South Africa 54 1
Graham Kirby,England 52 3.5
Robert Reiplinger,France 51 2.5
George Tornay,U.S.A. 51 0
Alfred Kadlec,Austria 49 4
Julian Frydrich,Israel 48 3
Steen Schou,Denmark 48 3
Claudio Caponi,Venezuela 48 2.5
Knud-aage,BOESGAARD Denmark 47 4
Grzegorz Gardynik,Poland 47 1.5
Saevar Thorbjornsson,Iceland 47 1
Alekos Lambrinos,Greece 46 1
Carlo Carpentieri,Italy 46 0
Kees Mulder,Netherlands 44 2.5
Stig Werdelin,Denmark 43 4
Raymond Brock,England 43 2.5
Johannes Hulgaard,Denmark 42 3
Pierre-Yves Guillaumin,France 42 0
Ron Sukoneck,U.S.A. 41 2
Ferdinand Robert Waluyan,Indonesia 40 1
Michael Hochzeit,Israel 39 3
Marty Bergen,U.S.A. 37 2
Dani Cohen,Israel 37 1.5
Peter Chun,China Hong Kong 37 1
Ron Andersen,U.S.A. 37 0
Michel Corn,France 35 2
Anders Wirgren,Sweden 35 2
Tony Sowter,England 34 1.5
Avinash Gokhale,India 31 2
Marcel Nooijen,Netherlands 31 2
Herve Pacault,France 31 0
Jan Janitschke,U.S.A. 30 1
Victor Craig Janitschke,U.S.A. 30 1
Aleksander Jezioro,Poland 29 2
Samih Khalil,Saudi Arabia 29 1.5
Leon Booklin,South Africa 29 0.5
Joseph Paladino,France 28 2
Eliakim Shaufel,Israel 26 3
Felix Covo,France 26 2
Krzysztof Moszczynski,Poland 26 2
Daniel Auby,Sweden 26 1.5
Maurizio Pattacini,Italy 26 1
Richard Pavlicek,U.S.A. 26 1
John Henriksen,Denmark 26 0
Warren Rosner,U.S.A. 25 0
Harold Lilie,U.S.A. 24 0.5
Junren Wang,China 24 0
Lu Yulin,China 24 0
Zhou Jiahong,China 23 0
Jose Barbosa,Brazil 22 4
