# OPEN WORLD LIFE MASTERS
John C SWANSON	U.S.A.	3	7
Jaime ORTIZ-PATINO	England	3	1
Robert JORDAN	U.S.A.	0	11
Arthur ROBINSON	U.S.A.	0	11
Alvin ROTH	U.S.A.	0	9
Peter A LEVENTRITT	U.S.A.	0	7
Erik PAULSEN	U.S.A.	0	7
Gerald CHARNEY	Canada	0	6
Bill CRISSEY	Canada	0	6
Tony PRIDAY	England	0	5.5
Claude RODRIGUE	Great Britain	0	5.5
Silvio SBARIGIA	Italy	0	5.5
Donald KRAUSS	U.S.A.	0	5
Guiseppe MESSINA	Italy	0	5
Robert G NAIL	U.S.A.	0	4.5
Jacques STETTEN	France	0	4.5
Fritz BABSCH	Austria	0	4
Giuseppe GARABELLO	Italy	0	4
Peter MANHARDT	Austria	0	4
Tobias STONE	U.S.A.	0	4
Ralph SWIMER	England	0	4
Italo ZANASI	Italy	0	4
C Bruce ELLIOT	Canada	0	3.5
John FISHER	U.S.A.	0	3.5
Percy SHEARDOWN	Canada	0	3.5
Alberto BERISSO	Argentina	0	3
Carlos CABANNE	Argentina	0	3
Conrad CHENG	Chinese Taipei	0	3
Richard J (Dick) CUMMINGS	Australia	0	3
Bruce D GOWDY	Canada	0	3
Frank HUANG	Chinese Taipei	0	3
Jacques PARIENTE	France	0	3
Janusz POLEC	Poland	0	3
Tim SERES	Australia	0	3
C.s. SHEN	Chinese Taipei	0	3
Steve PARKER	U.S.A.	0	2.5
Jim BORIN	Australia	0	2
Ricardo CALVENTE	Argentina	0	2
Lee HAZEN	U.S.A.	0	2
Denis HOWARD	Australia	0	2
Elmer HSIA	Chinese Taipei	0	2
William SAULINO	Italy	0	2
Roelof SMILDE	Australia	0	2
Tony TRAD	Switzerland	0	2
Marcelo LERNER	Argentina	0	1
William A ROSEN	U.S.A.	0	0.5
